time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput,bpm,d5_bpm,frequence
2019-08-30-17-16,54.862068965517246,10.0,2.1000172434182,0.0,90.0,18.0,0.04460966542750929
2019-08-30-17-16,54.862068965517246,10.0,2.1000172434182,0.0,90.0,18.0,0.04460966542750929
2019-08-30-17-16,54.862068965517246,10.0,2.1000172434182,0.0,90.0,18.0,0.04460966542750929
2019-08-30-17-20,51.43103448275862,10.0,1.9792413834867808,0.0,90.0,18.0,0.04460966542750929
2019-08-30-17-20,51.43103448275862,10.0,1.9792413834867808,0.0,90.0,18.0,0.04460966542750929
2019-08-30-17-20,51.43103448275862,10.0,1.9792413834867808,0.0,90.0,18.0,0.04460966542750929
2019-08-30-17-20,51.43103448275862,10.0,1.9792413834867808,0.0,90.0,18.0,0.04460966542750929
2019-08-30-17-25,50.08620689655172,10.0,2.1820862005496853,0.0,91.0,18.0,0.04460966542750929
2019-08-30-17-25,50.08620689655172,10.0,2.1820862005496853,0.0,91.0,18.0,0.04460966542750929
2019-08-30-17-25,50.08620689655172,10.0,2.1820862005496853,0.0,91.0,18.0,0.04460966542750929
2019-08-30-17-25,50.08620689655172,10.0,2.1820862005496853,0.0,91.0,18.0,0.04460966542750929
2019-08-30-17-18,50.32758620689656,10.0,2.0320517318002107,0.0,86.0,17.0,0.01486988847583643
2019-08-30-17-18,50.32758620689656,10.0,2.0320517318002107,0.0,86.0,17.0,0.01486988847583643
2019-08-30-17-18,50.32758620689656,10.0,2.0320517318002107,0.0,86.0,17.0,0.01486988847583643
2019-08-30-17-18,50.32758620689656,10.0,2.0320517318002107,0.0,86.0,17.0,0.01486988847583643
2019-08-30-17-19,58.08620689655172,11.0,2.095965519033629,0.0,85.0,17.0,0.01486988847583643
2019-08-30-17-19,58.08620689655172,11.0,2.095965519033629,0.0,85.0,17.0,0.01486988847583643
2019-08-30-17-19,58.08620689655172,11.0,2.095965519033629,0.0,85.0,17.0,0.01486988847583643
2019-08-30-17-19,58.08620689655172,11.0,2.095965519033629,0.0,85.0,17.0,0.01486988847583643
2019-08-30-17-21,26.12068965517241,5.0,1.5727930993869388,0.0,91.0,18.0,0.01486988847583643
2019-08-30-17-21,26.12068965517241,5.0,1.5727930993869388,0.0,91.0,18.0,0.01486988847583643
2019-08-30-17-21,26.12068965517241,5.0,1.5727930993869388,0.0,91.0,18.0,0.01486988847583643
2019-08-30-17-21,26.12068965517241,5.0,1.5727930993869388,0.0,91.0,18.0,0.01486988847583643
2019-08-30-17-32,5.155172413793104,1.0,1.2571551738114193,0.0,89.0,17.0,0.0037174721189591076
2019-08-30-17-33,68.9090909090909,13.0,1.7384545369581743,0.0,104.0,20.0,0.0037174721189591076
2019-08-30-17-38,0.0,0.0,1.0,0.0,112.0,22.0,0.0037174721189591076
2019-08-30-17-39,14.454545454545455,2.0,1.428272724151611,0.0,112.0,22.0,0.0037174721189591076
2019-08-30-17-46,0.0,0.0,1.0,0.0,96.0,19.0,0.0037174721189591076
2019-08-30-17-06,0.0,0.0,1.0,0.0,78.0,15.0,0.007434944237918215
2019-08-30-17-06,0.0,0.0,1.0,0.0,78.0,15.0,0.007434944237918215
